agent_id,agent_type,timeStamp_posix,latitude_deg,longitude_deg,speed_ms,heading_deg,accel_ms2
1,car,6552.75,45.0645212,7.6627489,0.24,291.29666,0.0
2,vru,6552.75,45.0645718,7.6627472,0.002,298.5384,0.0
2,vru,18343.0,45.0645718,7.6627472,0.002,298.5384,0.0
1,car,20174.25,45.0645212,7.6627489,0.24,291.29667,0.0
2,vru,23251.25,45.0645718,7.6627472,0.002,298.5384,0.0
1,car,25327.0,45.0645212,7.6627489,0.24,291.29667,0.0
2,vru,28618.5,45.06457183333333,7.662747166666667,0.002,298.5384,0.0
1,car,31025.25,45.064521166666665,7.662748833333334,0.2397119341563786,291.29667,-0.0117710018846203
2,vru,38630.25,45.06457183333333,7.662747166666667,0.002,298.5384,0.0
1,car,40828.5,45.064521166666665,7.662748833333334,0.2397119341563786,291.29667,-0.0117710018846203
2,vru,46561.25,45.06457183333333,7.662747166666667,0.002,298.5384,0.0
1,car,52083.75,45.064521166666665,7.662748833333334,0.2397119341563786,291.29667,-0.0117710018846203
2,vru,54783.75,45.06457183333333,7.662747166666667,0.002,298.5384,0.0
1,car,62753.5,45.064521166666665,7.662748833333334,0.2397119341563786,291.29667,-0.0117710018846203
2,vru,62890.25,45.06457183333333,7.662747166666667,0.002,298.5384,0.0
2,vru,70910.25,45.06457183333333,7.662747166666667,0.002,298.5384,0.0
1,car,71530.0,45.064521166666665,7.662748833333334,0.2397119341563786,291.29667,-0.0117710018846203
2,vru,78652.25,45.06457183333333,7.662747166666667,0.002,298.5384,0.0
1,car,80895.25,45.064521166666665,7.662748833333334,0.2397119341563786,291.29667,-0.0117710018846203
1,car,84159.75,45.064521166666665,7.662748833333334,0.2397119341563786,291.29667,-0.0117710018846203
2,vru,86504.0,45.06457183333333,7.662747166666667,0.002,298.5384,0.0
1,car,93021.25,45.064521166666665,7.662748833333334,0.2397119341563786,291.29667,-0.0117710018846203
2,vru,94676.5,45.06457183333333,7.662747166666667,0.002,298.5384,0.0
1,car,101789.25,45.0645213,7.6627491,0.203,291.39854,-0.5187939369789527
2,vru,102586.25,45.0645718,7.6627472,0.002,298.5311,0.0
2,vru,113788.25,45.0645718,7.6627472,0.002,298.5311,0.0
1,car,115196.25,45.0645213,7.6627491,0.203,291.39854,-0.5187939369789527
2,vru,118498.75,45.0645718,7.6627472,0.002,298.5311,0.0
1,car,120497.75,45.0645213,7.6627491,0.203,291.39854,-0.5187939369789527
2,vru,123369.5,45.06457183333333,7.662747166666667,0.002,298.5311,0.0
1,car,126316.5,45.06452133333333,7.662749,0.2031893004115226,291.39854,0.0077179631439572
2,vru,132358.5,45.06457183333333,7.662747166666667,0.002,298.5311,0.0
1,car,136022.25,45.06452133333333,7.662749,0.2031893004115226,291.39854,0.0077179631439572
2,vru,140196.75,45.06457183333333,7.662747166666667,0.002,298.5311,0.0
1,car,147090.25,45.06452133333333,7.662749,0.2031893004115226,291.39854,0.0077179631439572
2,vru,147881.75,45.06457183333333,7.662747166666667,0.002,298.5311,0.0
2,vru,155887.5,45.06457183333333,7.662747166666667,0.002,298.5311,0.0
1,car,157073.75,45.06452133333333,7.662749,0.2031893004115226,291.39854,0.0077179631439572
2,vru,163665.5,45.06457183333333,7.662747166666667,0.002,298.5311,0.0
1,car,165586.5,45.06452133333333,7.662749,0.2031893004115226,291.39854,0.0077179631439572
