,Unnamed: 0,agent_id,timeStamp_posix,latitude_deg,longitude_deg,speed_ms,heading_rad,heading_deg,accel_ms2,agent_type
0,0,1,1597257836.22373,45.567915,8.051233,0.057801,5.362810393928211,307.266401900977,0.0,car
1,1,1,1597257836.30287,45.567915025,8.051232994400001,0.059816,5.379297184624,308.211025425561,0.002015,car
2,2,1,1597257836.3334,45.567915048,8.0512329888,0.052202,5.3482274039084405,306.430858120162,-0.007614,car
3,3,1,1597257836.35788,45.5679150717,8.0512329825,0.059816,5.379297184624,308.211025425561,0.007614,car
4,4,1,1597257836.40951,45.567915094899995,8.051232975700001,0.0586,5.35247713314644,306.67434966957296,-0.001216,car
5,5,1,1597257836.5225801,45.5679151163,8.0512329701,0.057201,5.34889719617264,306.469234390052,-0.001399,car
6,6,1,1597257836.56089,45.5679151436,8.0512329571,0.060803,5.34602198845443,306.304497122575,0.003602,car
7,7,1,1597257836.6205401,45.567915163900004,8.051232950900001,0.056036,5.32019097649865,304.82448915695704,-0.004767,car
8,8,1,1597257836.69713,45.5679151888,8.0512329415,0.06,5.3558900891779695,306.869897645844,0.003964,car
9,9,1,1597257836.7743301,45.5679152095,8.0512329287,0.060465,5.30956563847737,304.215702132437,0.000465,car
10,10,1,1597257836.9070199,45.5679152296,8.0512329235,0.056613,5.3346918515719,305.6553280979,-0.003852,car
11,11,1,1597257837.0408,45.5679152513,8.0512329122,0.061033,5.3231149447739,304.992020198559,0.00442,car
12,12,1,1597257837.13372,45.5679152724,8.0512329065,0.053824,5.32615907540126,305.166436035793,-0.007209,car
13,13,1,1597257837.22333,45.56791529260001,8.0512328965,0.06,5.3558900891779695,306.869897645844,0.006176,car
14,14,1,1597257837.36882,45.56791531050001,8.051232889,0.058822,5.32868591778076,305.311213439633,-0.001178,car
15,15,1,1597257837.41203,45.5679153312,8.0512328802,0.056613,5.3346918515719,305.6553280979,-0.002209,car
16,16,1,1597257837.4849,45.5679153555,8.051232866900001,0.062426,5.32705193230686,305.217592968193,0.0058130000000000005,car
17,17,1,1597257837.61055,45.567915375,8.0512328576,0.058249,5.31467632651965,304.508522987668,-0.004177,car
18,18,1,1597257837.7522,45.5679153983,8.0512328454,0.062801,5.36225942979664,307.23483398157504,0.0045520000000000005,car
19,19,1,1597257837.84516,45.5679154179,8.0512328331,0.062201,5.349459309660371,306.501441120506,-0.0006,car
20,20,1,1597257838.07408,45.5679154407,8.0512328231,0.060216,5.33263846636751,305.537677791974,-0.001985,car
21,21,1,1597257838.14783,45.567915463999995,8.0512328072,0.065215,5.33442099567386,305.639809198087,0.004999,car
22,22,1,1597257838.18162,45.5679154838,8.0512327962,0.058249,5.31467632651965,304.508522987668,-0.006966,car
23,23,1,1597257838.2397099,45.5679155017,8.0512327865,0.0636,5.35274544545553,306.689722832476,0.005351,car
24,24,1,1597257838.31796,45.56791552470001,8.0512327739,0.062426,5.32705193230686,305.217592968193,-0.001174,car
25,25,1,1597257838.42221,45.56791554260001,8.0512327628,0.057689,5.300391583932259,303.69006752598,-0.004737,car
26,26,1,1597257838.51033,45.5679155638,8.0512327574,0.057201,5.34889719617264,306.469234390052,-0.000488,car
27,27,1,1597257838.62601,45.567915579099996,8.051232754099999,0.053254,5.31080787386323,304.28687697720903,-0.003947,car
28,28,1,1597257838.72733,45.567915597399995,8.0512327433,0.06020800000000001,5.27274885728953,302.106255955118,0.006954000000000001,car
29,29,1,1597257838.82304,45.5679156177,8.0512327332,0.061294000000000015,5.300391583932259,303.69006752598,0.001086,car
30,30,1,1597257838.93819,45.5679156369,8.0512327273,0.053824,5.32615907540126,305.166436035793,-0.00747,car
31,31,1,1597257839.0246902,45.5679156555,8.0512327181,0.061033,5.3231149447739,304.992020198559,0.007209,car
32,32,1,1597257839.1304,45.5679156739,8.0512327071,0.061294000000000015,5.300391583932259,303.69006752598,0.000261,car
33,33,1,1597257839.28416,45.5679156937,8.0512327021,0.059404999999999986,5.34242288993061,306.098283967108,-0.001889,car
34,34,1,1597257839.33763,45.5679157125,8.0512326917,0.055227,5.26523020197723,301.67546873810903,-0.004178,car
35,35,1,1597257839.44859,45.567915723,8.0512326962,0.034928,5.124799421982081,293.629377730657,-0.020299,car
36,36,1,1597257839.61037,45.56791572109999,8.0512327195,0.020616,4.46741031725783,255.963756532074,-0.014312,car
37,37,1,1597257839.658,45.567915706,8.0512327673,0.029,3.14159265358979,180.0,0.008384,car
38,38,1,1597257839.73822,45.567915674,8.0512328394,0.051420000000000014,2.90604767286893,166.504266719204,0.02242,car
39,39,1,1597257839.82909,45.5679156308,8.0512329311,0.062936,2.8349163341881205,162.428741221678,0.011516,car
40,40,1,1597257839.94134,45.567915596499994,8.0512330267,0.047381,3.0146198639757205,172.724995042111,-0.015555,car
41,41,1,1597257840.0288801,45.5679155742,8.0512331053,0.031575,4.9035734399817015,280.954062643398,-0.015806,car
42,42,1,1597257840.12146,45.5679156458,8.0512330646,0.170414,5.4936377900022695,314.762259540707,0.13883900000000002,car
43,43,1,1597257840.22758,45.5679156988,8.0512330499,0.048918,5.4254498132435405,310.855376258896,-0.121496,car
44,44,1,1597257840.3169699,45.5679157103,8.051233080700001,0.016492,4.957367643511558,284.036243467927,-0.032426,car
45,45,1,1597257840.40859,45.5679157386,8.051233079600001,0.08792,5.3035461476007315,303.870810710389,0.07142799999999999,car
46,46,1,1597257840.5141401,45.56791578470001,8.0512330709,0.067209,5.4662186872943614,313.191260677508,-0.020711,car
47,47,1,1597257840.61784,45.5679158126,8.0512330801,0.037443,5.30779885586342,304.114472945341,-0.029766,car
48,48,1,1597257840.7391698,45.5679158408,8.0512330799,0.073239,5.3231149447739,304.992020198559,0.035795999999999994,car
49,49,1,1597257840.82659,45.5679158811,8.051233077400001,0.067897,5.47695682374592,313.806510576018,-0.005342,car
50,50,1,1597257840.91995,45.5679159088,8.0512330857,0.046228,5.390508288133731,308.853374340353,-0.021669,car
51,51,1,1597257841.04055,45.567915935500004,8.0512330833,0.065734,5.29195296567801,303.206570315089,0.019506,car
52,52,1,1597257841.1348698,45.5679159708,8.0512330856,0.06229,5.452363864360559,312.3974377975,-0.003444,car
53,53,1,1597257841.22556,45.56791600060001,8.051233091,0.052402,5.443785643406169,311.905941941083,-0.009888,car
54,54,1,1597257841.31602,45.567916028599996,8.0512330891,0.060216,5.33263846636751,305.537677791974,0.007814,car
55,55,1,1597257841.39981,45.567916061000005,8.051233097899999,0.053075,5.4578084566588485,312.709389957361,-0.007141,car
56,56,1,1597257841.5321,45.5679160825,8.051233104,0.052631,5.39009727294932,308.82982490497,-0.0004440000000000001,car
57,57,1,1597257841.62611,45.5679161075,8.0512331041,0.060604999999999985,5.36909064250412,307.62623363867,0.007974,car
58,58,1,1597257841.74625,45.567916136099996,8.0512331062,0.058138,5.424746578479018,310.815083874882,-0.002467,car
59,59,1,1597257841.8058698,45.567916161899994,8.051233107,0.055317,5.421015252512361,310.60129464500403,-0.002821,car
60,60,1,1597257841.9765801,45.5679161906,8.0512331049,0.0614,5.35914740664798,307.05652818941,0.006083,car
61,61,1,1597257842.13266,45.5679162174,8.051233106,0.057628,5.3871299226082385,308.65980825409,-0.003772,car
62,62,1,1597257842.27701,45.567916243199996,8.0512331061,0.057009,5.37343214923538,307.874983651098,-0.0006190000000000001,car
63,63,1,1597257842.3442,45.5679162741,8.0512331016,0.06403099999999999,5.3871299226082385,308.65980825409,0.007022,car
64,64,1,1597257842.45929,45.5679163012,8.051233098400001,0.06044,5.3922978352570485,308.955907837759,-0.003591,car
65,65,1,1597257842.50578,45.5679163296,8.0512330945,0.061717,5.417500328499122,310.39990433373697,0.001277,car
66,66,1,1597257842.60674,45.567916359099996,8.0512330848,0.073878,5.4019279966721285,309.507675442873,0.012161,car
67,67,1,1597257842.65729,45.5679163876,8.051233071799999,0.075286,5.403725909154152,309.610688240027,0.001408,car
68,68,1,1597257842.74338,45.5679164273,8.0512330446,0.095588,5.445981686991138,312.031765970128,0.020302,car
69,69,1,1597257842.7924302,45.5679164816,8.0512329982,0.119553,5.46820997277689,313.305352931463,0.023965,car
70,70,1,1597257842.9165099,45.5679165471,8.0512329266,0.15703499999999998,5.47076669459487,313.451842301022,0.037482,car
71,71,1,1597257843.04748,45.56791664,8.0512328149,0.203691,5.47695682374592,313.806510576018,0.046656,car
72,72,1,1597257843.12686,45.567916752100004,8.0512326553,0.257701,5.44837684337391,312.168998322135,0.05401,car
73,73,1,1597257843.2372,45.56791687850001,8.051232454500001,0.30263,5.4299755861801895,311.11468394720004,0.044929,car
74,74,1,1597257843.31366,45.5679170221,8.0512322124,0.339825,5.41654672176963,310.345266692822,0.037195,car
75,75,1,1597257843.41585,45.567917181700004,8.051231933099999,0.375023,5.40337172626891,309.590395055527,0.035198,car
76,76,1,1597257843.52968,45.5679173525,8.0512316233,0.404219,5.40142570290598,309.478896129996,0.029196,car
77,77,1,1597257843.61909,45.567917530500004,8.051231274600001,0.451515,5.378482611344451,308.16435381453897,0.047296,car
78,78,1,1597257843.75467,45.567917721099995,8.0512308888,0.498696,5.3755425928133,307.995903161014,0.047181,car
79,79,1,1597257843.84459,45.567917921,8.0512304664,0.5420010000000001,5.35773510553462,306.975609296213,0.043305,car
80,80,1,1597257844.05381,45.5679181237,8.0512299986,0.580673,5.32523119443635,305.113272372613,0.038672000000000005,car
81,81,1,1597257844.13899,45.567918328699996,8.0512295045,0.624746,5.322590423447751,304.961967340306,0.044073,car
82,82,1,1597257844.16289,45.567918512700004,8.0512289652,0.688811,5.27945223642155,302.490331287858,0.064065,car
